parish,county,from_year,to_year,comments,district,source_url
Alton,Wiltshire,1934,1936,"Created 1.4.1934 out of the parishes of Alton Priors and Alton 
    Barnes. See also Table 2, note (c).",Pewsey,http://www.ukbmd.org.uk/reg/districts/pewsey.html
Alton Priors,Wiltshire,1837,1934,"Abolished 1.4.1934 and added to the parish of Alton. See 
    also Table 2, note (b).",Pewsey,http://www.ukbmd.org.uk/reg/districts/pewsey.html
Burbage,Wiltshire,1837,1936,"See Table 2, note (c).",Pewsey,http://www.ukbmd.org.uk/reg/districts/pewsey.html
Charlton,Wiltshire,1837,1936,"See Table 2, note (c).",Pewsey,http://www.ukbmd.org.uk/reg/districts/pewsey.html
Chute,Wiltshire,1880,1936,"See Table 2, notes (a) and (c).",Pewsey,http://www.ukbmd.org.uk/reg/districts/pewsey.html
Chute Forest,Wiltshire,1880,1936,"See Table 2, notes (a) and (c).",Pewsey,http://www.ukbmd.org.uk/reg/districts/pewsey.html
Collingbourne Ducis,Wiltshire,1837,1936,"See Table 2, note (c).",Pewsey,http://www.ukbmd.org.uk/reg/districts/pewsey.html
Collingbourne Kingston,Wiltshire,1837,1936,"See Table 2, note (c).",Pewsey,http://www.ukbmd.org.uk/reg/districts/pewsey.html
Easton,Wiltshire,1837,1936,"See Table 2, note (c).",Pewsey,http://www.ukbmd.org.uk/reg/districts/pewsey.html
Enford,Wiltshire,1837,1936,"See Table 2, note (c).",Pewsey,http://www.ukbmd.org.uk/reg/districts/pewsey.html
Everleigh,Wiltshire,1837,1936,"See Table 2, note (c).",Pewsey,http://www.ukbmd.org.uk/reg/districts/pewsey.html
Fittleton,Wiltshire,1837,1936,"See Table 2, note (c).",Pewsey,http://www.ukbmd.org.uk/reg/districts/pewsey.html
Huish,Wiltshire,1837,1936,"See Table 2, note (c).",Pewsey,http://www.ukbmd.org.uk/reg/districts/pewsey.html
Ludgershall,Wiltshire,1880,1936,"See Table 2, notes (a) and (c).",Pewsey,http://www.ukbmd.org.uk/reg/districts/pewsey.html
Manningford,Wiltshire,1934,1936,"Created 1.4.1934 out of the parishes of Manningford Bruce, Manningford 
    Bohune and Manningford Abbots. See also Table 2, note (c).",Pewsey,http://www.ukbmd.org.uk/reg/districts/pewsey.html
Manningford Abbots,Wiltshire,1837,1934,Abolished 1.4.1934 and added to the parish of Manningford.,Pewsey,http://www.ukbmd.org.uk/reg/districts/pewsey.html
Manningford Bohune,Wiltshire,1837,1934,Abolished 1.4.1934 and added to the parish of Manningford.,Pewsey,http://www.ukbmd.org.uk/reg/districts/pewsey.html
Manningford Bruce,Wiltshire,1837,1934,Abolished 1.4.1934 and added to the parish of Manningford.,Pewsey,http://www.ukbmd.org.uk/reg/districts/pewsey.html
Milton Lilbourne,Wiltshire,1837,1936,"See Table 2, note (c).",Pewsey,http://www.ukbmd.org.uk/reg/districts/pewsey.html
Netheravon,Wiltshire,1837,1936,"See Table 2, note (c).",Pewsey,http://www.ukbmd.org.uk/reg/districts/pewsey.html
North Newnton,Wiltshire,1837,1936,"See Table 2, note (c).",Pewsey,http://www.ukbmd.org.uk/reg/districts/pewsey.html
North Tidworth,Wiltshire,1880,1936,"See Table 2, notes (a) and (c).",Pewsey,http://www.ukbmd.org.uk/reg/districts/pewsey.html
Pewsey,Wiltshire,1837,1936,"See Table 2, note (c).",Pewsey,http://www.ukbmd.org.uk/reg/districts/pewsey.html
Rushall,Wiltshire,1837,1936,"See Table 2, note (c).",Pewsey,http://www.ukbmd.org.uk/reg/districts/pewsey.html
Upavon,Wiltshire,1837,1936,"See Table 2, note (c).",Pewsey,http://www.ukbmd.org.uk/reg/districts/pewsey.html
Wilcot,Wiltshire,1837,1936,"See Table 2, note (c).",Pewsey,http://www.ukbmd.org.uk/reg/districts/pewsey.html
Wilsford,Wiltshire,1837,1936,"See Table 2, note (c).",Pewsey,http://www.ukbmd.org.uk/reg/districts/pewsey.html
Woodborough,Wiltshire,1837,1936,"See Table 2, note (c).",Pewsey,http://www.ukbmd.org.uk/reg/districts/pewsey.html
Wootton Rivers,Wiltshire,1837,1936,"See Table 2, note (c).",Pewsey,http://www.ukbmd.org.uk/reg/districts/pewsey.html
