parish,county,from_year,to_year,comments,district,source_url
Aldermaston,Berkshire,1837,1937,"See Table 2, notes (f) and (h).",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Ashampstead,Berkshire,1837,1937,"See Table 2, note (h).",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Basildon,Berkshire,1837,1937,"See Table 2, note (h).",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Beech Hill,Berkshire,1879,1937,"See Table 2, notes (a) and (h).",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Beenham,Berkshire,1837,1937,"See Table 2, note (h).",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Bradfield,Berkshire,1837,1937,"See Table 2, note (h).",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Bucklebury,Berkshire,1837,1937,"See Table 2, note (h).",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Burghfield,Berkshire,1837,1937,"See Table 2, notes (c) and (h).",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Englefield,Berkshire,1837,1937,"See Table 2, note (h).",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Frilsham,Berkshire,1837,1937,"See Table 2, note (h).",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Goring,Oxfordshire,1837,1932,"See Table 2, note (e).",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Grazeley,Berkshire,1837,1937,"See Table 2, note (h).",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Mapledurham,Oxfordshire,1837,1932,"See Table 2, note (e).",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Mortimer West End,Hampshire,1837,1879,"See Table 2, note (b).",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Padworth,Berkshire,1837,1937,"See Table 2, note (h).",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Pangbourne,Berkshire,1837,1937,"See Table 2, note (h).",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Purley,Berkshire,1837,1937,"See Table 2, note (h).",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Stanford Dingley,Berkshire,1837,1937,"See Table 2, note (h).",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Stratfield Mortimer,Berkshire,1837,1937,"See Table 2, note (h).",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Streatley,Berkshire,1837,1937,"See Table 2, note (g).",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Sulham,Berkshire,1837,1937,"See Table 2, note (h).",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Sulhamstead,Berkshire,1934,1937,"Created 1.4.1934 out of the parishes of Sulhamstead Bannister 
    and Wokefield. See also Table 2, note (h).",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Sulhamstead Abbots,Berkshire,1837,1934,Abolished 1.4.1934 and added to the parish of Sulhamstead.,Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Sulhamstead Bannister,Berkshire,1934,1937,"Created 1.4.1934 out of the parishes of Sulhamstead Abbots and 
    Sulhamstead bannister Upper End. See also Table 2, note (h).",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Sulhamstead Bannister Lower End,Berkshire,1837,1934,"Abolished 1.4.1934 and added to the parish of Sulhamstead 
    Bannister.",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Sulhamstead Bannister Upper End,Berkshire,1837,1934,Abolished 1.4.1934 and added to the parish of Sulhamstead.,Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Theale,Berkshire,1894,1937,"Created 1894 out of the parish of Tilehurst. See also Table 2, 
    notes (d) and (h).",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Tidmarsh,Berkshire,1837,1937,"See Table 2, note (h).",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Tilehurst,Berkshire,1837,1937,"See Table 2, notes (c), (d) and (h).",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Ufton Nervet,Berkshire,1837,1937,"See Table 2, note (h).",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Whitchurch,Berkshire,1837,1894,"In 1894 the part in Berkshire became 
    part of the parish of Purley, so that thereafter Whitchurch was entirely in Oxfordshire. 
    See also Table 2, note (e).",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Wokefield,Berkshire,1837,1937,"See Table 2, note (h).",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Yattendon,Berkshire,1837,1937,"See Table 2, note (h).",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
Reading,Berkshire,1911,1912,"That part which until 9.11.1911 formed parts of the parishes 
    of Theale and Tilehurst. See also Table 2, note (d).",Bradfield,http://www.ukbmd.org.uk/reg/districts/bradfield.html
