parish,county,from_year,to_year,comments,district,source_url
Aston cum Aughton,Yorkshire West Riding,1837,1938,"See Table 2, note (i).",Rotherham,http://www.ukbmd.org.uk/reg/districts/rotherham.html
Beighton,Derbyshire,1837,1895,"See Table 2, note (e).",Rotherham,http://www.ukbmd.org.uk/reg/districts/rotherham.html
Bramley,Yorkshire West Riding,1837,1938,"See Table 2, notes (d) and (i).",Rotherham,http://www.ukbmd.org.uk/reg/districts/rotherham.html
Brampton,Yorkshire West Riding,1894,1897,"Created 1894 out of the parish of Brampton Bierlow. Renamed 19.7.1897 
    to become the parish of Brampton Bierlow.",Rotherham,http://www.ukbmd.org.uk/reg/districts/rotherham.html
Brampton Bierlow,Yorkshire West Riding,1837,1894,"Abolished 1894 to become the separate parishes of Brampton and 
    West Melton.",Rotherham,http://www.ukbmd.org.uk/reg/districts/rotherham.html
Brampton Bierlow,Yorkshire West Riding,1897,1938,"Created 19.7.1897 by renaming the parish of Brampton. See also 
    Table 2, note (i).",Rotherham,http://www.ukbmd.org.uk/reg/districts/rotherham.html
Brampton-en-le-Morthen,Yorkshire West Riding,1837,1923,Abolished 1.4.1923 and added to the parish of Thurcroft.,Rotherham,http://www.ukbmd.org.uk/reg/districts/rotherham.html
Brinsworth,Yorkshire West Riding,1837,1938,"See Table 2, note (i).",Rotherham,http://www.ukbmd.org.uk/reg/districts/rotherham.html
Catcliffe,Yorkshire West Riding,1837,1938,"See Table 2, notes (f) and (i).",Rotherham,http://www.ukbmd.org.uk/reg/districts/rotherham.html
Dalton,Yorkshire West Riding,1837,1938,"See Table 2, notes (c), (b) and (i).",Rotherham,http://www.ukbmd.org.uk/reg/districts/rotherham.html
Dinnington,Yorkshire West Riding,1937,1938,"See Table 2, notes (h) and (i).",Rotherham,http://www.ukbmd.org.uk/reg/districts/rotherham.html
Firbeck,Yorkshire West Riding,1937,1938,"See Table 2, notes (h) and (i).",Rotherham,http://www.ukbmd.org.uk/reg/districts/rotherham.html
Gildingwells,Yorkshire West Riding,1937,1938,"See Table 2, notes (h) and (i).",Rotherham,http://www.ukbmd.org.uk/reg/districts/rotherham.html
Greasbrough,Yorkshire West Riding,1837,1936,"Abolished 1.4.1936 and divided between the parishes of Rotherham, 
    Rawmarsh and Wentworth.",Rotherham,http://www.ukbmd.org.uk/reg/districts/rotherham.html
Harthill with Woodall,Yorkshire West Riding,1937,1938,"See Table 2, notes (h) and (i).",Rotherham,http://www.ukbmd.org.uk/reg/districts/rotherham.html
Hooton Levitt,Yorkshire West Riding,1837,1938,"See Table 2, note (i).",Rotherham,http://www.ukbmd.org.uk/reg/districts/rotherham.html
Hooton Roberts,Yorkshire West Riding,1837,1938,"See Table 2, note (i).",Rotherham,http://www.ukbmd.org.uk/reg/districts/rotherham.html
Kimberworth,Yorkshire West Riding,1837,1894,"Abolished 1894 and divided between the parishes of Rotherham and 
    Wentworh.",Rotherham,http://www.ukbmd.org.uk/reg/districts/rotherham.html
Laughton-en-le-Morthen,Yorkshire West Riding,1837,1923,Abolished 1.4.1923 and added to the parish of Thurcroft.,Rotherham,http://www.ukbmd.org.uk/reg/districts/rotherham.html
Letwell,Yorkshire West Riding,1937,1938,"See Table 2, notes (h) and (i).",Rotherham,http://www.ukbmd.org.uk/reg/districts/rotherham.html
Maltby,Yorkshire West Riding,1837,1938,"See Table 2, note (i).",Rotherham,http://www.ukbmd.org.uk/reg/districts/rotherham.html
North & South Anston,Yorkshire West Riding,1937,1938,"See Table 2, notes (h) and (i).",Rotherham,http://www.ukbmd.org.uk/reg/districts/rotherham.html
Orgreave,Yorkshire West Riding,1837,1938,"See Table 2, notes (i) and (j).",Rotherham,http://www.ukbmd.org.uk/reg/districts/rotherham.html
Ravenfield,Yorkshire West Riding,1837,1938,"See Table 2, note (i).",Rotherham,http://www.ukbmd.org.uk/reg/districts/rotherham.html
Rawmarsh,Yorkshire West Riding,1837,1938,"See Table 2, note (i).",Rotherham,http://www.ukbmd.org.uk/reg/districts/rotherham.html
Rotherham,Yorkshire West Riding,1837,1974,"Abolished 1.4.1974 and added to the Rotherham unparished area. See also Table 
    2, note (k).",Rotherham,http://www.ukbmd.org.uk/reg/districts/rotherham.html
