parish,county,from_year,to_year,comments,district,source_url
Acton Turville,Gloucestershire,1837,1937,"See Table 2, note (h).",Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
Alderley,Gloucestershire,1837,1937,"See Table 2, note (h).",Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
Bitton,Gloucestershire,1936,1937,"See Table 2, notes (d) and (g).",Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
Chipping Sodbury,Gloucestershire,1837,1937,"See Table 2, note (h).",Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
Cold Ashton,Gloucestershire,1837,1937,"See Table 2, note (h).",Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
Dodington,Gloucestershire,1837,1937,"See Table 2, note (h).",Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
Doynton,Gloucestershire,1837,1937,"See Table 2, note (h).",Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
Dyrham & Hinton,Gloucestershire,1837,1937,"See Table 2, note (h).",Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
Filton,Gloucestershire,1905,1937,"See Table 2, notes (c), (e) and (h).",Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
Frampton Cotterell,Gloucestershire,1837,1937,"See Table 2, note (h).",Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
Great Badminton,Gloucestershire,1837,1937,"See Table 2, note (h).",Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
Hanham Abbots,Gloucestershire,1936,1937,"See Table 2, notes (d) and (g).",Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
Hawkesbury,Gloucestershire,1837,1937,"See Table 2, notes (f) and (h).",Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
Horton,Gloucestershire,1837,1937,"See Table 2, note (h).",Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
Iron Acton,Gloucestershire,1837,1937,"See Table 2, notes (a) and (h).",Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
Kingswood,Gloucestershire,1936,1937,"See Table 2, notes (d) and (g).",Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
Little Sodbury,Gloucestershire,1837,1937,"See Table 2, note (h).",Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
Mangotsfield Rural,Gloucestershire,1936,1937,"See Table 2, notes (d) and (g).",Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
Mangotsfield Urban,Gloucestershire,1936,1937,"See Table 2, notes (d) and (g).",Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
Marshfield,Gloucestershire,1837,1937,"See Table 2, note (h).",Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
Old Sodbury,Gloucestershire,1837,1937,"See Table 2, note (h).",Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
Oldland,Gloucestershire,1936,1937,"See Table 2, notes (d) and (g).",Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
Pucklechurch,Gloucestershire,1837,1937,"See Table 2, note (h).",Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
Siston,Gloucestershire,1936,1937,"See Table 2, notes (d) and (g).",Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
Stoke Gifford,Gloucestershire,1905,1937,"See Table 2, notes (c) and (h).",Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
Tormarton,Gloucestershire,1837,1937,"See Table 2, note (h).",Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
Wapley & Cordrington,Gloucestershire,1837,1935,Abolished 1.4.1935 and added to the parish of Dodington.,Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
West Littleton,Gloucestershire,1837,1935,Abolished 1.4.1935 and added to the parish of Tomarton.,Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
Westerleigh,Gloucestershire,1837,1937,"See Table 2, notes (b) and (h).",Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
Wick & Abson,Gloucestershire,1837,1937,"See Table 2, note (h).",Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
Wickwar,Gloucestershire,1837,1937,"See Table 2, notes (h) and (i).",Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
Winterbourne,Gloucestershire,1905,1937,"See Table 2, notes (c), (d), (e) and (h).",Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
Yate,Gloucestershire,1837,1937,"See Table 2, note (h).",Chipping Sodbury,http://www.ukbmd.org.uk/reg/districts/chipping%20sodbury.html
