parish,county,from_year,to_year,comments,district,source_url
Barton Bendish,Norfolk,1837,2011,"See Table 2, notes (f) and (i).",Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
Bexwell,Norfolk,1837,1935,Abolished 1.4.1935 and added to the parish of Ryston.,Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
Boughton,Norfolk,1837,2011,"See Table 2, note (i).",Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
Crimplesham,Norfolk,1837,2011,"See Table 2, note (i).",Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
Denver,Norfolk,1837,2011,"See Table 2, notes (d) and (i).",Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
Downham Market,Norfolk,1837,2011,"See Table 2, note (i).",Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
Downham West,Norfolk,1894,2011,"Created 1894 from the rural part of the parish of Downham Market. 
    See also Table 2, note (i).",Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
Feltwell,Norfolk,1939,2011,"See Table 2, notes (e) and (i).",Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
Fincham,Norfolk,1837,2011,"See Table 2, note (i).",Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
Fordham,Norfolk,1837,2011,"See Table 2, note (i).",Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
Hilgay,Norfolk,1837,2011,"See Table 2, notes (c) and (i).",Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
Hockwold cum Wilton,Norfolk,1939,2011,"See Table 2, notes (e) and (i).",Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
Marham,Norfolk,1837,2011,"See Table 2, note (i).",Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
Methwold,Norfolk,1939,2011,"See Table 2, notes (e) and (i).",Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
Nordelph,Norfolk,1930,2011,"Created 1.10.1930 out of the parishes of Upwell, Denver, Outwell, 
    Stow Bardolph and Downham West. See also Table 2, notes (d) and (i).",Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
Northwold,Norfolk,1939,2011,"See Table 2, notes (e), (g) and (i).",Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
Outwell,Norfolk,1938,1974,"See Table 2, notes (d) and (h).",Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
Roxham,Norfolk,1837,1935,Abolished 1.4.1935 and added to the parish of Ryston.,Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
Runcton Holme,Norfolk,1837,1935,Abolished 1.4.1935 and added to the parish of South Runcton.,Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
Runcton Holme,Norfolk,1950,2011,"Created 1.7.1950 by renaming the parish of South Runcton. See 
    also Table 2, note (i).",Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
Ryston,Norfolk,1837,2011,"See Table 2, note (i).",Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
Shouldham,Norfolk,1837,2011,"See Table 2, note (i).",Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
Shouldham Thorpe,Norfolk,1837,2011,"See Table 2, note (i).",Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
South Runcton,Norfolk,1837,1950,Renamed 1.7.1950 to become the parish of Runcton Holme.,Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
Southery,Norfolk,1837,2011,"See Table 2, note (i).",Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
Stoke Ferry,Norfolk,1837,2011,"See Table 2, note (i).",Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
Stow Bardolph,Norfolk,1837,2011,"See Table 2, note (i).",Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
Stradsett,Norfolk,1837,2011,"See Table 2, note (i).",Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
Tottenhill,Norfolk,1837,2011,"See Table 2, note (i).",Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
Upwell,Norfolk,1938,2011,"See Table 2, notes (d) and (i).",Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
Wallington with Thorpland,Norfolk,1837,1935,Abolished 1.4.1935 and added to the parish of South Runcton.,Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
Watlington,Norfolk,1837,2011,"See Table 2, note (i).",Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
Welney,Cambridgeshire,1837,1889,"On 30.9.1895 the part in Isle of Ely became the separate 
    parish of West Welney, so that thereafter Welney was entirely in Norfolk. See 
    also Table 2, notes (a), (b), (d) and (i).",Downham,http://www.ukbmd.org.uk/reg/districts/downham.html
