parish,county,from_year,to_year,comments,district,source_url
Bletchingley,Surrey,1837,1934,"See Table 2, notes (a) and (d).",Godstone,http://www.ukbmd.org.uk/reg/districts/godstone.html
Caterham,Surrey,1837,1934,"See Table 2, note (d).",Godstone,http://www.ukbmd.org.uk/reg/districts/godstone.html
Chelsham,Surrey,1837,1934,"See Table 2, note (d).",Godstone,http://www.ukbmd.org.uk/reg/districts/godstone.html
Coulsdon,Surrey,1933,1934,"That part which until 1.4.1933 formed part of the parish of 
    Warlingham. See also Table 2, note (c).",Godstone,http://www.ukbmd.org.uk/reg/districts/godstone.html
Crowhurst,Surrey,1837,1934,"See Table 2, note (d).",Godstone,http://www.ukbmd.org.uk/reg/districts/godstone.html
Farleigh,Surrey,1837,1934,"See Table 2, note (c).",Godstone,http://www.ukbmd.org.uk/reg/districts/godstone.html
Godstone,Surrey,1837,1934,"See Table 2, note (d).",Godstone,http://www.ukbmd.org.uk/reg/districts/godstone.html
Horley,Surrey,1894,1895,"That part which until 1894 formed part of the parish of Horne. 
    See also Table 2, note (a).",Godstone,http://www.ukbmd.org.uk/reg/districts/godstone.html
Horne,Surrey,1837,1934,"See Table 2, notes (a) and (d).",Godstone,http://www.ukbmd.org.uk/reg/districts/godstone.html
Limpsfield,Surrey,1837,1934,"See Table 2, note (d).",Godstone,http://www.ukbmd.org.uk/reg/districts/godstone.html
Lingfield,Surrey,1897,1934,"See Table 2, notes (b) and (d).",Godstone,http://www.ukbmd.org.uk/reg/districts/godstone.html
Nutfield,Surrey,1894,1895,"That part which until 1894 formed part of the parish of 
    Bletchingley. See also Table 2, note (a).",Godstone,http://www.ukbmd.org.uk/reg/districts/godstone.html
Oxted,Surrey,1837,1934,"See Table 2, note (d).",Godstone,http://www.ukbmd.org.uk/reg/districts/godstone.html
Tandridge,Surrey,1837,1934,"See Table 2, note (d).",Godstone,http://www.ukbmd.org.uk/reg/districts/godstone.html
Tatsfield,Surrey,1837,1934,"See Table 2, note (d).",Godstone,http://www.ukbmd.org.uk/reg/districts/godstone.html
Titsey,Surrey,1837,1934,"See Table 2, note (d).",Godstone,http://www.ukbmd.org.uk/reg/districts/godstone.html
Warlingham,Surrey,1837,1934,"See Table 2, notes (c) and (d).",Godstone,http://www.ukbmd.org.uk/reg/districts/godstone.html
Woldingham,Surrey,1837,1934,"See Table 2, note (d).",Godstone,http://www.ukbmd.org.uk/reg/districts/godstone.html
