parish,county,from_year,to_year,comments,district,source_url
Aldbourne,Wiltshire,1936,1998,"See Table 2, notes (b) and (c).",Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
Avebury,Wiltshire,1837,1998,"See Table 2, note (c).",Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
Baydon,Wiltshire,1936,1998,"See Table 2, notes (b) and (c).",Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
Berwick Bassett,Wiltshire,1837,1998,"See Table 2, note (c).",Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
Broad Hinton,Wiltshire,1837,1998,"See Table 2, notes (a) and (c).",Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
Buttermere,Wiltshire,1936,1998,"See Table 2, notes (b) and (c).",Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
Chilton Foliat,Wiltshire,1936,1998,"See Table 2, notes (b) and (c).",Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
Clatford Park,Wiltshire,1837,1896,Abolished 1.10.1896 and added to the parish of Fyfield.,Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
East Kennett,Wiltshire,1837,1998,"See Table 2, note (c).",Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
Froxfield,Wiltshire,1936,1998,"See Table 2, notes (b) and (c).",Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
Fyfield,Wiltshire,1837,1998,"See Table 2, note (c).",Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
Grafton,Wiltshire,1936,1998,"See Table 2, notes (b) and (c).",Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
Great Bedwyn,Wiltshire,1936,1998,"See Table 2, notes (b) and (c).",Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
Ham,Wiltshire,1936,1998,"See Table 2, notes (b) and (c).",Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
Little Bedwyn,Wiltshire,1936,1998,"See Table 2, notes (b) and (c).",Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
Marlborough,Wiltshire,1925,1998,"Created 1.10.1925 from the parishes of St. Mary the Virgin, St. 
    Peter & St. Paul and Preshute Within. See also Table 2, note (c).",Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
Mildenhall,Wiltshire,1837,1998,"See Table 2, note (c).",Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
North Savernake,Wiltshire,1837,1934,"Abolished 1.4.1934 and divided between the parishes of Savernake 
    and Marlborough.",Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
Ogbourne St. Andrew,Wiltshire,1837,1998,"See Table 2, note (c).",Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
Ogbourne St. George,Wiltshire,1837,1998,"See Table 2, note (c).",Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
Overton Heath,Wiltshire,1837,1895,Abolished 1.4.1895 and added to the parish of Clatford.,Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
Preshute,Wiltshire,1837,1901,"Abolished 9.11.1901 and divided between the parishes of Preshute 
    Within, Preshute Without, North Savernake and Mildenhall.",Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
Preshute,Wiltshire,1925,1998,"Created 1.10.1925 by renaming the parish of Preshute. See also 
    Table 2, note (c).",Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
Preshute Within,Wiltshire,1901,1925,"Created 9.11.1901 out of the parish of Preshute. Abolished 1.10.1925 
    and added to the parish of Marlborough.",Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
Preshute Without,Wiltshire,1901,1925,"Created 9.11.1901 out of the parish of Preshute. Renamed 1.10.1925 
    to become the parish of Preshute.",Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
Ramsbury,Wiltshire,1936,1998,"See Table 2, notes (b) and (c).",Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
Savernake,Wiltshire,1934,1998,"Created 1.4.1934 out of the parishes of North Savernake and South 
    Savernake with Brimslade & Cadley. See also Table 2, note (c).",Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
Shalbourne,Wiltshire,1936,1998,"See Table 2, notes (b) and (c).",Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
South Savernake with Brimslade & Cadley,Wiltshire,1837,1934,Abolished 1.4.1934 and added to the parish of Savernake.,Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
St. Mary the Virgin,Wiltshire,1837,1925,Abolished 1.10.1925 and added to the parish of Marlborough.,Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
St. Peter & St. Paul,Wiltshire,1837,1925,Abolished 1.10.1925 and added to the parish of Marlborough.,Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
Tidcombe & Fosbury,Wiltshire,1936,1998,"See Table 2, notes (b) and (c).",Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
West Overton,Wiltshire,1837,1998,"See Table 2, note (c).",Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
Winterbourne Bassett,Wiltshire,1837,1998,"See Table 2, note (c).",Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
Winterbourne Monkton,Wiltshire,1837,1998,"See Table 2, note (c).",Marlborough,http://www.ukbmd.org.uk/reg/districts/marlborough.html
