parish,county,from_year,to_year,comments,district,source_url
Aisholt,Somerset,1837,1933,Abolished 1.4.1933 and added to the parish of Spaxton.,Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Aller,Somerset,1936,1974,"See Table 2, notes (e) and (g).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Ashcott,Somerset,1837,1974,"See Table 2, note (f).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Babcary,Somerset,1936,1974,"See Table 2, notes (e) and (g).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Barrington,Somerset,1936,1974,"See Table 2, notes (e) and (g).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Barton St. David,Somerset,1936,1974,"See Table 2, notes (e) and (g).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Bawdrip,Somerset,1837,1974,"See Table 2, note (f).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Beercrocombe,Somerset,1936,1974,"See Table 2, notes (e) and (g).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Bridgwater,Somerset,1837,1974,"Abolished 1.4.1974 to become the Sedgemoor unparished area. See 
    also Table 2, note (f).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Bridgwater Without,Somerset,1894,1974,"Created 1894 from the rural part of the parish of Bridgwater. 
    See also Table 2, note (f).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Broomfield,Somerset,1837,1974,"See Table 2, note (f).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Cannington,Somerset,1837,1974,"See Table 2, note (f).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Catcott,Somerset,1837,1974,"See Table 2, note (f).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Charlton Mackrell,Somerset,1936,1974,"See Table 2, notes (e) and (g).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Charlinch,Somerset,1837,1974,"See Table 2, note (f).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Chedzoy,Somerset,1837,1974,"See Table 2, note (f).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Chilton Common,Somerset,1837,1907,Abolished 1.4.1907 and added to the parish of Chilton Trinity.,Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Chilton Polden,Somerset,1837,1974,"See Table 2, note (f).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Chilton Trinity,Somerset,1837,1974,"See Table 2, note (f).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Compton Dundon,Somerset,1936,1974,"See Table 2, notes (e) and (g).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Cossington,Somerset,1837,1974,"See Table 2, note (f).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Curry Mallet,Somerset,1936,1974,"See Table 2, notes (e) and (g).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Curry Rivel,Somerset,1936,1974,"See Table 2, notes (e) and (g).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Drayton,Somerset,1936,1974,"See Table 2, notes (e) and (g).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Durleigh,Somerset,1837,1974,"See Table 2, note (f).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
East Huntspill,Somerset,1949,1974,"Created 1.4.1949 out of the parish of Huntspill. See also Table 
    2, note (f).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Edington,Somerset,1837,1974,"See Table 2, note (f).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Edstock & Beer,Somerset,1837,1886,"Abolished 25.3.1886 and divided between the parishes of Cannington 
    and Otterhampton.",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Enmore,Somerset,1837,1974,"See Table 2, note (f).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Fiddington,Somerset,1837,1974,"See Table 2, note (f).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Fivehead,Somerset,1936,1974,"See Table 2, notes (e) and (g).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Goathurst,Somerset,1837,1974,"See Table 2, note (f).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Greinton,Somerset,1837,1974,"See Table 2, note (f).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
Highbridge South,Somerset,1896,1897,"Created 1.10.1896 out of the parish of Huntspill. See also Table 
    2, note (d).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
High Ham,Somerset,1936,1974,"See Table 2, notes (e) and (g).",Bridgwater,http://www.ukbmd.org.uk/reg/districts/bridgwater.html
