parish,county,from_year,to_year,comments,district,source_url
Ailsworth,Northamptonshire,1837,1889,,Peterborough,http://www.ukbmd.org.uk/reg/districts/peterborough.html
Alwalton,Huntingdonshire,1837,1933,"See Table 2, note (b).",Peterborough,http://www.ukbmd.org.uk/reg/districts/peterborough.html
Bainton,Soke of Peterborough,1934,1965,"See Table 2, note (d).",Peterborough,http://www.ukbmd.org.uk/reg/districts/peterborough.html
Barnack,Soke of Peterborough,1934,1965,"See Table 2, note (d).",Peterborough,http://www.ukbmd.org.uk/reg/districts/peterborough.html
Borough Fen,Northamptonshire,1837,1889,,Peterborough,http://www.ukbmd.org.uk/reg/districts/peterborough.html
Caldecote,Huntingdonshire,1837,1933,"See Table 2, note (b).",Peterborough,http://www.ukbmd.org.uk/reg/districts/peterborough.html
Castor,Northamptonshire,1837,1889,"See Table 2, notes (f) and (g).",Peterborough,http://www.ukbmd.org.uk/reg/districts/peterborough.html
Chesterton,Huntingdonshire,1837,1933,"See Table 2, notes (b) and (j).",Peterborough,http://www.ukbmd.org.uk/reg/districts/peterborough.html
Crowland,Lincolnshire,1837,1889,"Transferred from Lincolnshire to the county of Parts of Holland 
    on 1.4.1889. See also Table 2, note (c).",Peterborough,http://www.ukbmd.org.uk/reg/districts/peterborough.html
Deeping Gate,Northamptonshire,1837,1889,,Peterborough,http://www.ukbmd.org.uk/reg/districts/peterborough.html
Denton,Huntingdonshire,1837,1933,"See Table 2, note (b).",Peterborough,http://www.ukbmd.org.uk/reg/districts/peterborough.html
Denton & Caldecote,Huntingdon & Peterborough,1968,1974,"See Table 2, note (j).",Peterborough,http://www.ukbmd.org.uk/reg/districts/peterborough.html
Elton,Huntingdon & Peterborough,1968,1974,"See Table 2, note (j).",Peterborough,http://www.ukbmd.org.uk/reg/districts/peterborough.html
Etton,Northamptonshire,1837,1889,,Peterborough,http://www.ukbmd.org.uk/reg/districts/peterborough.html
Eye,Northamptonshire,1837,1889,,Peterborough,http://www.ukbmd.org.uk/reg/districts/peterborough.html
Farcet,Huntingdonshire,1837,1933,"See Table 2, notes (b) and (j).",Peterborough,http://www.ukbmd.org.uk/reg/districts/peterborough.html
Fletton,Huntingdonshire,1837,1894,"In 1889 the part of the parish of Fletton within the borough of 
    Peterborough became part of the Soke of Peterborough. The parish was abolished 
    1894 to become the separate parishes of Fletton Urban and Fletton Rural.",Peterborough,http://www.ukbmd.org.uk/reg/districts/peterborough.html
Fletton,Huntingdon & Peterborough,1968,1974,"Abolished 1.4.1974 and added to the Peterborough unparished area. See also Table 2, note 
    (j).",Peterborough,http://www.ukbmd.org.uk/reg/districts/peterborough.html
Fletton Rural,Huntingdonshire,1894,1933,"Created 1894 from the rural part of the parish of Fletton. See 
    also Table 2, note (b).",Peterborough,http://www.ukbmd.org.uk/reg/districts/peterborough.html
Fletton Urban,Soke of Peterborough,1894,1929,"Created 1894 from the part of the parish of Fletton in Peterborough 
    Municipal Borough. Abolished 1.4.1929 and added to the parish of Peterborough.",Peterborough,http://www.ukbmd.org.uk/reg/districts/peterborough.html
Folksworth,Huntingdonshire,1837,1933,"See Table 2, note (b).",Peterborough,http://www.ukbmd.org.uk/reg/districts/peterborough.html
Folksworth & Washingley,Huntingdon & Peterborough,1968,1974,"See Table 2, note (j).",Peterborough,http://www.ukbmd.org.uk/reg/districts/peterborough.html
Glatton,Huntingdonshire,1837,1933,"See Table 2, notes (b) and (j).",Peterborough,http://www.ukbmd.org.uk/reg/districts/peterborough.html
Glinton,Northamptonshire,1837,1889,,Peterborough,http://www.ukbmd.org.uk/reg/districts/peterborough.html
Gunthorpe,Northamptonshire,1837,1889,Abolished 1.4.1929 and added to the parish of Peterborough.,Peterborough,http://www.ukbmd.org.uk/reg/districts/peterborough.html
