parish,county,from_year,to_year,comments,district,source_url
Ashprington,Devon,1837,1968,"See Table 2, note (f).",Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
Berry Pomeroy,Devon,1837,1968,"See Table 2, note (f).",Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
Brixham,Devon,1837,1968,"Abolished 1.4.1968 and divided between the parishes of Torbay and 
    Kingswear.",Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
Buckfastleigh,Devon,1837,1894,"Abolished 1894 to become the separate parishes of East Buckfastleigh 
    and West Buckfastleigh.",Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
Churston Ferrers,Devon,1837,1968,"Abolished 1.4.1968 and divided between the parishes of Torbay and 
    Kingswear.",Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
Cornworthy,Devon,1837,1968,"See Table 2, note (f).",Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
Dartington,Devon,1837,1968,"See Table 2, note (f).",Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
Dartmouth,Devon,1891,1968,"Created 26.3.1891 out of the parishes of St. Saviour, Townstall and St. Petrox.",Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
Dean Prior,Devon,1837,1968,"See Table 2, note (f).",Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
Diptford,Devon,1837,1968,"See Table 2, note (f).",Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
Dittisham,Devon,1837,1968,"See Table 2, note (f).",Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
East Buckfastleigh,Devon,1894,1968,"Created 1894 from the part of the parish of Buckfastleigh in 
    Buckfastleigh Urban District. See also Table 2, note (f)",Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
Halwell,Devon,1837,1968,"See Table 2, notes (a) and (f).",Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
Harberton,Devon,1837,1968,"See Table 2, note (f).",Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
Holne,Devon,1837,1968,"See Table 2, note (f).",Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
Ivybridge,Devon,1894,1894,"That part which until 1894 formed part of the parish of Ugborough. 
    See also Table 2, note (e).",Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
Kingswear,Devon,1837,1968,"See Table 2, note (f).",Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
Littlehempston,Devon,1837,1968,"See Table 2, note (f).",Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
Marldon,Devon,1837,1968,"See Table 2, notes (c) and (f).",Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
Moreleigh,Devon,1837,1968,"See Table 2, notes (a) and (f).",Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
North Huish,Devon,1837,1968,"See Table 2, note (f).",Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
Paignton,Devon,1837,1968,Abolished 1.4.1968 and added to the parish of Torbay.,Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
Rattery,Devon,1837,1968,"See Table 2, note (f).",Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
South Brent,Devon,1837,1968,"See Table 2, note (f).",Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
St. Petrox,Devon,1837,1891,"Abolished 26.3.1891 and added to the parish of Dartmouth. 
    See also Table 2, note (d).",Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
St. Saviour,Devon,1837,1891,Abolished 26.3.1891 and added to the parish of Dartmouth.,Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
Staverton,Devon,1837,1968,"See Table 2, notes (b) and (f).",Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
Stoke Gabriel,Devon,1837,1968,"See Table 2, note (f).",Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
Totnes,Devon,1837,1968,"See Table 2, note (f).",Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
Townstall,Devon,1837,1891,Abolished 26.3.1891 and added to the parish of Dartmouth.,Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
Ugborough,Devon,1837,1968,"See Table 2, notes (e) and (f).",Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
West Buckfastleigh,Devon,1894,1968,"Created 1894 from the rural part of the parish of Buckfastleigh. 
    See also Table 2, note (f).",Totnes,http://www.ukbmd.org.uk/reg/districts/totnes.html
