parish,county,from_year,to_year,comments,district,source_url
Abington,Northamptonshire,1837,1913,Abolished 1.4.1913 and added to the parish of Northampton.,Northampton (1837-1923),http://www.ukbmd.org.uk/reg/districts/northampton.html
All Saints,Northamptonshire,1837,1909,Abolished 1.4.1909 and added to the parish of Northampton.,Northampton (1837-1923),http://www.ukbmd.org.uk/reg/districts/northampton.html
Bugbrooke,Northamptonshire,1837,1924,"See Table 2, note (c).",Northampton (1837-1923),http://www.ukbmd.org.uk/reg/districts/northampton.html
Boughton,Northamptonshire,1900,1900,"That part which until 9.11.1900 formed part of the parish of 
    Kingsthorpe. See also Table 2, note (b).",Northampton (1837-1923),http://www.ukbmd.org.uk/reg/districts/northampton.html
Dallington,Northamptonshire,1837,1924,"See Table 2, note (c).",Northampton (1837-1923),http://www.ukbmd.org.uk/reg/districts/northampton.html
Dallington St. James,Northamptonshire,1895,1913,"Created 1.4.1895 out of the part of the parish of Dallington in 
    Hardingstone Urban District. Abolished 1.4.1913 and added to the parish 
    of Northampton.",Northampton (1837-1923),http://www.ukbmd.org.uk/reg/districts/northampton.html
Duston,Northamptonshire,1837,1924,"See Table 2, note (c).",Northampton (1837-1923),http://www.ukbmd.org.uk/reg/districts/northampton.html
Duston St. James,Northamptonshire,1895,1913,"Created 1.4.1895 out of the part of the parish of Duston in Hardingstone 
    Urban District. Abolished 1.4.1913 and added to the parish of Northampton.",Northampton (1837-1923),http://www.ukbmd.org.uk/reg/districts/northampton.html
Great Billing,Northamptonshire,1837,1924,"See Table 2, note (c).",Northampton (1837-1923),http://www.ukbmd.org.uk/reg/districts/northampton.html
Harpole,Northamptonshire,1837,1924,"See Table 2, note (c).",Northampton (1837-1923),http://www.ukbmd.org.uk/reg/districts/northampton.html
Kingsthorpe,Northamptonshire,1837,1913,"Abolished 1.4.1913 and added to the parish of Northampton. 
    See also Table 2, note (b).",Northampton (1837-1923),http://www.ukbmd.org.uk/reg/districts/northampton.html
Kislingbury,Northamptonshire,1837,1924,"See Table 2, note (c).",Northampton (1837-1923),http://www.ukbmd.org.uk/reg/districts/northampton.html
Little Billing,Northamptonshire,1837,1924,"See Table 2, note (c).",Northampton (1837-1923),http://www.ukbmd.org.uk/reg/districts/northampton.html
Moulton Park,Northamptonshire,1837,1862,"See Table 2, note (a).",Northampton (1837-1923),http://www.ukbmd.org.uk/reg/districts/northampton.html
Moulton Park,Northamptonshire,1900,1900,"That part which until 9.11.1900 formed part of the parish of 
    Kingsthorpe. See also Table 2, note (b).",Northampton (1837-1923),http://www.ukbmd.org.uk/reg/districts/northampton.html
Nether Heyford,Northamptonshire,1837,1924,"See Table 2, note (c).",Northampton (1837-1923),http://www.ukbmd.org.uk/reg/districts/northampton.html
Northampton,Northamptonshire,1909,1924,"Created 1.4.1909 from the parishes of St. Giles, St. Sepulchre, 
    Priory of St. Andrew, All Saints and St. Peter. See also Table 2, note (c).",Northampton (1837-1923),http://www.ukbmd.org.uk/reg/districts/northampton.html
Priory of St. Andrew,Northamptonshire,1837,1909,Abolished 1.4.1909 and added to the parish of Northampton.,Northampton (1837-1923),http://www.ukbmd.org.uk/reg/districts/northampton.html
St. Giles,Northamptonshire,1837,1909,Abolished 1.4.1909 and added to the parish of Northampton.,Northampton (1837-1923),http://www.ukbmd.org.uk/reg/districts/northampton.html
St. Peter,Northamptonshire,1837,1909,Abolished 1.4.1909 and added to the parish of Northampton.,Northampton (1837-1923),http://www.ukbmd.org.uk/reg/districts/northampton.html
St. Sepulchre,Northamptonshire,1837,1909,Abolished 1.4.1909 and added to the parish of Northampton.,Northampton (1837-1923),http://www.ukbmd.org.uk/reg/districts/northampton.html
Upper Heyford,Northamptonshire,1837,1924,"See Table 2, note (c).",Northampton (1837-1923),http://www.ukbmd.org.uk/reg/districts/northampton.html
Upton,Northamptonshire,1837,1924,"See Table 2, note (c).",Northampton (1837-1923),http://www.ukbmd.org.uk/reg/districts/northampton.html
Weston Favell,Northamptonshire,1837,1924,"See Table 2, note (c).",Northampton (1837-1923),http://www.ukbmd.org.uk/reg/districts/northampton.html
