parish,county,from_year,to_year,comments,district,source_url
Abercarn,Monmouthshire,1894,1936,"Created 1894 from the part of the parish of Mynyddislwyn in Abercarn 
    Urban District. See also Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Bedwas,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Bedwellty,Monmouthshire,1935,1936,"That part which until 1.4.1935 formed part of the parish of Mynyddislwyn. 
    See also Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Bettws,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Bishton,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Caerleon,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Christchurch,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Coedkernew,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Duffryn,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Goldcliff,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Graig,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Henllys,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Kemeys Inferior,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Llandevenny,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Llangattock juxta Caerleon,Monmouthshire,1837,1935,"Abolished 1.4.1935 and divided between the parishes of Caerleon 
    and Llanhennock Fawr.",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Llangstone,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Llanhennock,Monmouthshire,1837,1935,"Abolished 1.4.1935 and divided between the parishes of Llanhennock 
    Fawr, Kemeys Inferior and Caerleon.",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Llanhennock Fawr,Monmouthshire,1935,1936,"Created 1.4.1935 out of the parishes of Llanhennock, Llangattock 
    juxta Caerleon and Tredunnock. See also Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Llanmartin,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Llanvaches,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Llanvedw,Glamorganshire,1837,1895,"See Table 2, note (b).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Llanvihangel Llantarnam,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Llanwern,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Machen Lower,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Machen Upper,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Magor,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Malpas,Monmouthshire,1837,1935,"Abolished 1.4.1935 and divided between the parishes of Newport 
    and Bettws.",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Marshfield,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Michaelston y Vedw,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Mynyddislwyn,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Nash,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Newport,Monmouthshire,1837,1974,"See Table 2, notes (d) and (e).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Penhow,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Peterstone Wentloog,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Redwick,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Rhd y Gwern,Glamorganshire,1837,1895,"See Table 2, note (b).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Risca,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Rogerstone,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Rumney,Monmouthshire,1895,1936,"See Table 2, notes (a) and (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
St. Brides Wentloog,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
St. Mellons,Monmouthshire,1895,1936,"See Table 2, notes (a) and (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
St. Woollos,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Newport.,Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Tredunnock,Monmouthshire,1837,1935,"Abolished 1.4.1935 and added to the parish of Llanhennock 
    Fawr.",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Whitson,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
Wilcrick,Monmouthshire,1837,1936,"See Table 2, note (c).",Newport M,http://www.ukbmd.org.uk/reg/districts/newport2.html
