parish,county,from_year,to_year,comments,district,source_url
Aldham,Suffolk,1837,1889,"See Table 2, note (h).",Cosford,http://www.ukbmd.org.uk/reg/districts/cosford.html
Bildeston,Suffolk,1837,1889,"See Table 2, note (h).",Cosford,http://www.ukbmd.org.uk/reg/districts/cosford.html
Boxford,Suffolk,1837,1889,"See Table 2, notes (e), (f), (h) and (h).",Cosford,http://www.ukbmd.org.uk/reg/districts/cosford.html
Brent Eleigh,Suffolk,1837,1889,"See Table 2, note (h).",Cosford,http://www.ukbmd.org.uk/reg/districts/cosford.html
Brettenham,Suffolk,1837,1889,"See Table 2, note (h).",Cosford,http://www.ukbmd.org.uk/reg/districts/cosford.html
Chelsworth,Suffolk,1837,1889,"See Table 2, note (h).",Cosford,http://www.ukbmd.org.uk/reg/districts/cosford.html
Cockfield,Suffolk,1837,1889,"See Table 2, notes (g) and (h).",Cosford,http://www.ukbmd.org.uk/reg/districts/cosford.html
Edwardstone,Suffolk,1837,1889,"See Table 2, notes (f) and (h).",Cosford,http://www.ukbmd.org.uk/reg/districts/cosford.html
Elmsett,Suffolk,1837,1889,"See Table 2, notes (a) and (h).",Cosford,http://www.ukbmd.org.uk/reg/districts/cosford.html
Groton,Suffolk,1837,1889,"See Table 2, notes (f) and (h).",Cosford,http://www.ukbmd.org.uk/reg/districts/cosford.html
Hadleigh,Suffolk,1837,1889,"See Table 2, note (h).",Cosford,http://www.ukbmd.org.uk/reg/districts/cosford.html
Hadleigh Hamlet,Suffolk,1837,1889,"Abolished 1.4.1935 and divided between the parishes of Boxford 
    and Kersey.",Cosford,http://www.ukbmd.org.uk/reg/districts/cosford.html
Hitcham,Suffolk,1837,1889,"See Table 2, note (h).",Cosford,http://www.ukbmd.org.uk/reg/districts/cosford.html
Kersey,Suffolk,1837,1889,"See Table 2, note (h).",Cosford,http://www.ukbmd.org.uk/reg/districts/cosford.html
Kettlebaston,Suffolk,1837,1889,"See Table 2, note (h).",Cosford,http://www.ukbmd.org.uk/reg/districts/cosford.html
Lavenham,Suffolk,1837,1889,"See Table 2, note (h).",Cosford,http://www.ukbmd.org.uk/reg/districts/cosford.html
Layham,Suffolk,1837,1889,"See Table 2, note (h).",Cosford,http://www.ukbmd.org.uk/reg/districts/cosford.html
Lindsey,Suffolk,1837,1889,"See Table 2, notes (b), (c) and (h).",Cosford,http://www.ukbmd.org.uk/reg/districts/cosford.html
Milden,Suffolk,1837,1889,"See Table 2, note (h).",Cosford,http://www.ukbmd.org.uk/reg/districts/cosford.html
Monks Eleigh,Suffolk,1837,1889,"See Table 2, note (h).",Cosford,http://www.ukbmd.org.uk/reg/districts/cosford.html
Naughton,Suffolk,1837,1889,"Abolished 1.4.1935 and added to the parish of Nedging with 
    Naughton.",Cosford,http://www.ukbmd.org.uk/reg/districts/cosford.html
Nedging,Suffolk,1837,1889,"Abolished 1.4.1935 and added to the parish of Nedging with 
    Naughton.",Cosford,http://www.ukbmd.org.uk/reg/districts/cosford.html
Nedging with Naughton,West Suffolk,1935,1938,"Created 1.4.1935 from the parishes of Nedging, Naughton and Bildeston. 
    See also Table 2, note (h).",Cosford,http://www.ukbmd.org.uk/reg/districts/cosford.html
Newton,West Suffolk,1935,1938,"That part which until 1.4.1935 formed part of the parish of 
    Boxford. See also Table 2, note (h).",Cosford,http://www.ukbmd.org.uk/reg/districts/cosford.html
Polstead,Suffolk,1837,1889,"See Table 2, notes (d), (h) and (h).",Cosford,http://www.ukbmd.org.uk/reg/districts/cosford.html
Preston,Suffolk,1837,1889,"See Table 2, note (h).",Cosford,http://www.ukbmd.org.uk/reg/districts/cosford.html
Semer,Suffolk,1837,1889,"See Table 2, note (h).",Cosford,http://www.ukbmd.org.uk/reg/districts/cosford.html
Stoke by Nayland,West Suffolk,1935,1938,"That part which until 1.4.1935 formed part of the parish of 
    Polstead. See also Table 2, note (h).",Cosford,http://www.ukbmd.org.uk/reg/districts/cosford.html
Thorpe Morieux,Suffolk,1837,1889,"See Table 2, note (h).",Cosford,http://www.ukbmd.org.uk/reg/districts/cosford.html
Wattisham,Suffolk,1837,1889,"See Table 2, note (h).",Cosford,http://www.ukbmd.org.uk/reg/districts/cosford.html
Whatfield,Suffolk,1837,1889,"See Table 2, note (h).",Cosford,http://www.ukbmd.org.uk/reg/districts/cosford.html
