parish,county,from_year,to_year,comments,district,source_url
Adlingfleet,Yorkshire West Riding,1837,1974,,Goole,http://www.ukbmd.org.uk/reg/districts/goole.html
Airmyn,Yorkshire West Riding,1837,1974,,Goole,http://www.ukbmd.org.uk/reg/districts/goole.html
Eastoft,Yorkshire West Riding,1837,1974,"See Table 2, note (b).",Goole,http://www.ukbmd.org.uk/reg/districts/goole.html
Fockerby,Yorkshire West Riding,1837,1974,,Goole,http://www.ukbmd.org.uk/reg/districts/goole.html
Garthorpe,Lincolnshire,1837,1889,"Transferred from Lincolnshire to Parts of Lindsey on 1.4.1889. 
    See also Table 2, note (c).",Goole,http://www.ukbmd.org.uk/reg/districts/goole.html
Goole,Yorkshire West Riding,1837,1974,Abolished 1.4.1974 to become the Boothferry unparished area.,Goole,http://www.ukbmd.org.uk/reg/districts/goole.html
Gowdall,Yorkshire West Riding,1837,1974,,Goole,http://www.ukbmd.org.uk/reg/districts/goole.html
Haldenby,Yorkshire West Riding,1837,1974,,Goole,http://www.ukbmd.org.uk/reg/districts/goole.html
Hook,Yorkshire West Riding,1837,1974,,Goole,http://www.ukbmd.org.uk/reg/districts/goole.html
Luddington,Lincolnshire,1837,1889,"Transferred from Lincolnshire to the county of Parts of Lindsey 
    on 1.4.1889. See also Table 2, notes (b) and (c).",Goole,http://www.ukbmd.org.uk/reg/districts/goole.html
Ousefleet,Yorkshire West Riding,1837,1974,,Goole,http://www.ukbmd.org.uk/reg/districts/goole.html
Pollington,Yorkshire West Riding,1837,1974,"See Table 2, note (a).",Goole,http://www.ukbmd.org.uk/reg/districts/goole.html
Rawcliffe,Yorkshire West Riding,1837,1974,,Goole,http://www.ukbmd.org.uk/reg/districts/goole.html
Reedness,Yorkshire West Riding,1837,1884,"Abolished 25.3.1884 and added to the parish of Swinefleet 
    & Reedness.",Goole,http://www.ukbmd.org.uk/reg/districts/goole.html
Snaith & Cowick,Yorkshire West Riding,1837,1974,,Goole,http://www.ukbmd.org.uk/reg/districts/goole.html
Swinefleet,Yorkshire West Riding,1837,1884,"Abolished 25.3.1884 and added to the parish of Swinefleet 
    & Reedness.",Goole,http://www.ukbmd.org.uk/reg/districts/goole.html
Whitgift,Yorkshire West Riding,1837,1974,,Goole,http://www.ukbmd.org.uk/reg/districts/goole.html
